paper_index,pmid,pmcid,doi,source,author_order,author_name,author_affiliation_numbers,author_affiliations,warnings
1,35854720,PMC9285174,,pubmed_xml,1,Jimmy Phuong,1;2,"Division of Biomedical and Health Informatics, UW Medicine, Seattle, Washington. || University of Washington Medicine Research IT, Seattle, Washington.","PMC JATS XML failed: mismatched tag: line 137, column 6"
1,35854720,PMC9285174,,pubmed_xml,2,Stephanie Hong,3,"Section of Biomedical Informatics and Data Science, Johns Hopkins University School of Medicine, Baltimore, Maryland.","PMC JATS XML failed: mismatched tag: line 137, column 6"
1,35854720,PMC9285174,,pubmed_xml,3,Matvey B Palchuk,4,"TriNetX, LLC, Cambridge, MA.","PMC JATS XML failed: mismatched tag: line 137, column 6"
1,35854720,PMC9285174,,pubmed_xml,4,Juan Espinoza,5,"Department of Pediatrics, Children's Hospital Los Angeles, Los Angeles, CA.","PMC JATS XML failed: mismatched tag: line 137, column 6"
1,35854720,PMC9285174,,pubmed_xml,5,Daniella Meeker,6,"Department of Preventive Medicine, University of Southern California, Los Angeles, California.","PMC JATS XML failed: mismatched tag: line 137, column 6"
1,35854720,PMC9285174,,pubmed_xml,6,David A Dorr,7,"Department of Medical Informatics & Clinical Epidemiology, Oregon Health & Science University, Portland, OR.","PMC JATS XML failed: mismatched tag: line 137, column 6"
1,35854720,PMC9285174,,pubmed_xml,7,Galina Lozinski,8,"Department of Pediatrics, Boston Medical Center/Boston University School of Medicine.","PMC JATS XML failed: mismatched tag: line 137, column 6"
1,35854720,PMC9285174,,pubmed_xml,8,Charisse Madlock-Brown,9,"Tennessee Clinical and Translational Science Institute, University of Tennessee Health Science Center, Memphis, Tennessee.","PMC JATS XML failed: mismatched tag: line 137, column 6"
1,35854720,PMC9285174,,pubmed_xml,9,William G Adams,8,"Department of Pediatrics, Boston Medical Center/Boston University School of Medicine.","PMC JATS XML failed: mismatched tag: line 137, column 6"
2,39398989,PMC11469454,10.1101/2024.09.26.24314443,pubmed_xml,1,Atana Pasha,1;2,"Department of Health Promotion, Education and Behavior, Arnold School of Public Health, University of South Carolina, Columbia, SC, USA. || South Carolina SmartState Center for Healthcare Quality, Arnold School of Public Health, University of South Carolina, Columbia, SC, USA.","PMC JATS XML failed: mismatched tag: line 144, column 6"
2,39398989,PMC11469454,10.1101/2024.09.26.24314443,pubmed_xml,2,Shan Qiao,1;2,"Department of Health Promotion, Education and Behavior, Arnold School of Public Health, University of South Carolina, Columbia, SC, USA. || South Carolina SmartState Center for Healthcare Quality, Arnold School of Public Health, University of South Carolina, Columbia, SC, USA.","PMC JATS XML failed: mismatched tag: line 144, column 6"
2,39398989,PMC11469454,10.1101/2024.09.26.24314443,pubmed_xml,3,Jiajia Zhang,2;3,"South Carolina SmartState Center for Healthcare Quality, Arnold School of Public Health, University of South Carolina, Columbia, SC, USA. || Department of Epidemiology and Biostatistics, Arnold School of Public Health, University of South Carolina, Columbia, SC, USA.","PMC JATS XML failed: mismatched tag: line 144, column 6"
2,39398989,PMC11469454,10.1101/2024.09.26.24314443,pubmed_xml,4,Ruilie Cai,2,"South Carolina SmartState Center for Healthcare Quality, Arnold School of Public Health, University of South Carolina, Columbia, SC, USA.","PMC JATS XML failed: mismatched tag: line 144, column 6"
2,39398989,PMC11469454,10.1101/2024.09.26.24314443,pubmed_xml,5,Buwei He,2,"South Carolina SmartState Center for Healthcare Quality, Arnold School of Public Health, University of South Carolina, Columbia, SC, USA.","PMC JATS XML failed: mismatched tag: line 144, column 6"
2,39398989,PMC11469454,10.1101/2024.09.26.24314443,pubmed_xml,6,Xueying Yang,1;2,"Department of Health Promotion, Education and Behavior, Arnold School of Public Health, University of South Carolina, Columbia, SC, USA. || South Carolina SmartState Center for Healthcare Quality, Arnold School of Public Health, University of South Carolina, Columbia, SC, USA.","PMC JATS XML failed: mismatched tag: line 144, column 6"
2,39398989,PMC11469454,10.1101/2024.09.26.24314443,pubmed_xml,7,Chen Liang,2;4,"South Carolina SmartState Center for Healthcare Quality, Arnold School of Public Health, University of South Carolina, Columbia, SC, USA. || Department of Health Services Policy and Management, Arnold School of Public Health, University of South Carolina, Columbia, SC, USA.","PMC JATS XML failed: mismatched tag: line 144, column 6"
2,39398989,PMC11469454,10.1101/2024.09.26.24314443,pubmed_xml,8,Sharon Weissman,2;5,"South Carolina SmartState Center for Healthcare Quality, Arnold School of Public Health, University of South Carolina, Columbia, SC, USA. || Department of Internal Medicine, School of Medicine, University of South Carolina, Columbia, SC, USA.","PMC JATS XML failed: mismatched tag: line 144, column 6"
2,39398989,PMC11469454,10.1101/2024.09.26.24314443,pubmed_xml,9,Xiaoming Li,1;2,"Department of Health Promotion, Education and Behavior, Arnold School of Public Health, University of South Carolina, Columbia, SC, USA. || South Carolina SmartState Center for Healthcare Quality, Arnold School of Public Health, University of South Carolina, Columbia, SC, USA.","PMC JATS XML failed: mismatched tag: line 144, column 6"
3,29888090,PMC5961795,,pubmed_xml,1,Alex Butler,1,"Department of Biomedical Informatics, Columbia University, New York City, New York.","PMC JATS XML failed: mismatched tag: line 130, column 6"
3,29888090,PMC5961795,,pubmed_xml,2,Wei Wei,1,"Department of Biomedical Informatics, Columbia University, New York City, New York.","PMC JATS XML failed: mismatched tag: line 130, column 6"
3,29888090,PMC5961795,,pubmed_xml,3,Chi Yuan,1,"Department of Biomedical Informatics, Columbia University, New York City, New York.","PMC JATS XML failed: mismatched tag: line 130, column 6"
3,29888090,PMC5961795,,pubmed_xml,4,Tian Kang,1,"Department of Biomedical Informatics, Columbia University, New York City, New York.","PMC JATS XML failed: mismatched tag: line 130, column 6"
3,29888090,PMC5961795,,pubmed_xml,5,Yuqi Si,2,"The University of Texas Health Science Center at Houston, Houston, Texas.","PMC JATS XML failed: mismatched tag: line 130, column 6"
3,29888090,PMC5961795,,pubmed_xml,6,Chunhua Weng,1,"Department of Biomedical Informatics, Columbia University, New York City, New York.","PMC JATS XML failed: mismatched tag: line 130, column 6"
4,38105303,PMC10725886,10.1038/s41598-023-49560-w,pubmed_xml,1,Romina Blasini,1,"Institute of Medical Informatics, Justus Liebig University, Giessen, Germany. romina.blasini@informatik.med.uni-giessen.de.","PMC JATS XML failed: mismatched tag: line 133, column 6"
4,38105303,PMC10725886,10.1038/s41598-023-49560-w,pubmed_xml,2,Kornelia Marta Buchowicz,2;3,"Institute of Medical Informatics, Justus Liebig University, Giessen, Germany. || Faculty of Health Sciences, University of Applied Sciences, Giessen, Germany.","PMC JATS XML failed: mismatched tag: line 133, column 6"
4,38105303,PMC10725886,10.1038/s41598-023-49560-w,pubmed_xml,3,Henning Schneider,2;3,"Institute of Medical Informatics, Justus Liebig University, Giessen, Germany. || Faculty of Health Sciences, University of Applied Sciences, Giessen, Germany.","PMC JATS XML failed: mismatched tag: line 133, column 6"
4,38105303,PMC10725886,10.1038/s41598-023-49560-w,pubmed_xml,4,Birgit Samans,3,"Faculty of Health Sciences, University of Applied Sciences, Giessen, Germany.","PMC JATS XML failed: mismatched tag: line 133, column 6"
4,38105303,PMC10725886,10.1038/s41598-023-49560-w,pubmed_xml,5,Keywan Sohrabi,2;3,"Institute of Medical Informatics, Justus Liebig University, Giessen, Germany. || Faculty of Health Sciences, University of Applied Sciences, Giessen, Germany.","PMC JATS XML failed: mismatched tag: line 133, column 6"
5,42034002,,10.1016/j.ejca.2026.116751,pubmed_xml,1,Sarah K Wooller,1,"Bioinformatics Lab, School of Life Sciences, Faculty of Science, Engineering and Medicine, University of Sussex, Brighton, Falmer BN1 9QG, United Kingdom.",
5,42034002,,10.1016/j.ejca.2026.116751,pubmed_xml,2,Andrew Blake,2,"Department of Oncology, University of Oxford, Old Road Campus Research Building, Roosevelt Drive, Oxford OX3 7DQ, United Kingdom.",
5,42034002,,10.1016/j.ejca.2026.116751,pubmed_xml,3,Martin McCabe,3,"The Christie NHS Foundation Trust, Wilmslow Road, Withington, Manchester M20 4BX, United Kingdom.",
5,42034002,,10.1016/j.ejca.2026.116751,pubmed_xml,4,Colin McLean,4,"The Cancer Centre, School of Genetics and Cancer, The University of Edinburgh, Crewe Road South, Edinburgh EH4 2XU, United Kingdom.",
5,42034002,,10.1016/j.ejca.2026.116751,pubmed_xml,5,Gareth Price,5,"The Christie NHS Foundation Trust, Wilmslow Road, Withington, Manchester M20 4BX, United Kingdom; Division of Cancer Sciences, University of Manchester, Manchester, United Kingdom.",
5,42034002,,10.1016/j.ejca.2026.116751,pubmed_xml,6,Harriet Unsworth,6,"Digital Cancer Research Team, CRUK National Biomarker Centre, The Paterson Building, The University of Manchester, Wilmslow Road, Manchester M20 4BX, United Kingdom. Electronic address: harriet.unsworth@cruk.manchester.ac.uk.",
5,42034002,,10.1016/j.ejca.2026.116751,pubmed_xml,7,Mieke Van Hemelrijck,7,"Comprehensive Cancer Centre, Guy's Hospital, 3rd Floor Bermondsey Wing, London SE1 9RT, United Kingdom. Electronic address: mieke.vanhemelrijck@kcl.ac.uk.",
5,42034002,,10.1016/j.ejca.2026.116751,pubmed_xml,8,Frances M G Pearl,8,"Bioinformatics Lab, School of Life Sciences, Faculty of Science, Engineering and Medicine, University of Sussex, Brighton, Falmer BN1 9QG, United Kingdom. Electronic address: f.pearl@sussex.ac.uk.",
6,26515501,,10.1016/j.jbi.2015.10.009,pubmed_xml,1,Hong Sun,1,"Advanced Clinical Applications Research Group, Agfa HealthCare, Moutstraat 100, 9000 Gent, Belgium. Electronic address: hong.sun@agfa.com.",
6,26515501,,10.1016/j.jbi.2015.10.009,pubmed_xml,2,Kristof Depraetere,2,"Advanced Clinical Applications Research Group, Agfa HealthCare, Moutstraat 100, 9000 Gent, Belgium.",
6,26515501,,10.1016/j.jbi.2015.10.009,pubmed_xml,3,Jos De Roo,2,"Advanced Clinical Applications Research Group, Agfa HealthCare, Moutstraat 100, 9000 Gent, Belgium.",
6,26515501,,10.1016/j.jbi.2015.10.009,pubmed_xml,4,Giovanni Mels,2,"Advanced Clinical Applications Research Group, Agfa HealthCare, Moutstraat 100, 9000 Gent, Belgium.",
6,26515501,,10.1016/j.jbi.2015.10.009,pubmed_xml,5,Boris De Vloed,2,"Advanced Clinical Applications Research Group, Agfa HealthCare, Moutstraat 100, 9000 Gent, Belgium.",
6,26515501,,10.1016/j.jbi.2015.10.009,pubmed_xml,6,Marc Twagirumukiza,2,"Advanced Clinical Applications Research Group, Agfa HealthCare, Moutstraat 100, 9000 Gent, Belgium.",
6,26515501,,10.1016/j.jbi.2015.10.009,pubmed_xml,7,Dirk Colaert,2,"Advanced Clinical Applications Research Group, Agfa HealthCare, Moutstraat 100, 9000 Gent, Belgium.",
7,40169005,,10.1146/annurev-biodatasci-103123-095506,pubmed_xml,1,Ferran Sanz,1;2,"Department of Medicine and Life Sciences (MELIS), Universitat Pompeu Fabra, Barcelona, Spain; email: ferran.sanz@upf.edu. || Research Program on Biomedical Informatics (GRIB), Hospital del Mar Research Institute (IMIM), Barcelona, Spain.",
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,1,Daniel Prieto-Alhambra,1,"Centre for Statistics in Medicine (CSM), Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences (NDROMS), University of Oxford, UK.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,2,Kristin Kostka,2,"Real World Solutions, IQVIA, Cambridge, MA, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,3,Talita Duarte-Salles,3,"Fundació Institut Universitari per a la recerca a l'Atenció Primària de Salut Jordi Gol i Gurina (IDIAPJGol), Barcelona, Spain.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,4,Albert Prats-Uribe,4,"Centre for Statistics in Medicine, University of Oxford.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,5,Anthony Sena,5,"Janssen R&D, Titusville NJ, USA, 2) Department of Medical Informatics, Erasmus University Medical Center, Rotterdam, The Netherlands.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,6,Andrea Pistillo,3,"Fundació Institut Universitari per a la recerca a l'Atenció Primària de Salut Jordi Gol i Gurina (IDIAPJGol), Barcelona, Spain.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,7,Sara Khalid,6,"Centre for Statistics in Medicine, NDORMS, University of Oxford, UK.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,8,Lana Lai,7,"Division of Cancer Sciences, School of Medical Sciences, University of Manchester, UK.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,9,Asieh Golozar,8,"Regeneron Pharmaceuticals, NY USA, Department of Epidemiology, Johns Hopkins Bloomberg School of Public Health, MD USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,10,Thamir M Alshammari,9,"Medication Safety Research Chair, King Saud University, Riyadh, Saudi Arabia.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,11,Dalia Dawoud,10,"National Institute for Health and Care Excellence, London, UK.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,12,Fredrik Nyberg,11,"School of Public Health and Community Medicine, Institute of Medicine, Sahlgrenska Academy, University of Gothenburg, Gothenburg, Sweden.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,13,Adam Wilcox,12,"Department of Biomedical Informatics and Medical Education, University of Washington, Seattle, WA, USA, 2) UW Medicine, Seattle, WA, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,14,Alan Andryc,13,"Janssen R&D, Titusville NJ, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,15,Andrew Williams,14,"Tufts Institute for Clinical Research and Health Policy Studies, US.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,16,Anna Ostropolets,15,"Department of Biomedical Informatics, Columbia University Irving Medical Center, New York, NY 10032, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,17,Carlos Areia,16,"Nuffield Department of Clinical Neurosciences, University of Oxford, UK.","PMC JATS XML failed: mismatched tag: line 268, column 6"
